created_at;komentar;username;case_folding;cleaning;tokenizing;normalisasi;stopword;lemmatisasi;cluster;Cluster Label
Mon Jul 15 12:35:36 +0000 2024;Niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi. UNMOOD. Kena deh. ;josaphait;niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi. unmood. kena deh. ;niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi unmood kena deh;['niko', 'lu', 'boleh', 'pakai', 'helm', 'tapi', 'habis', 'ini', 'dapet', 'dare', 'jadi', 'panitia', 'karapan', 'sapi', 'unmood', 'kena', 'deh'];['niko', 'kamu', 'boleh', 'pakai', 'helm', 'tapi', 'habis', 'ini', 'dapat', 'dare', 'jadi', 'panitia', 'karapan', 'sapi', 'unmood', 'kena', 'deh'];niko pakai helm habis dare panitia karapan sapi unmood kena deh;niko pakai helm habis dare panitia karapan sapi unmood kena deh;0;Positif
Mon Jul 15 12:35:10 +0000 2024;Niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi. UNMOOD.;jerichoslm;niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi. unmood.;niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi unmood;['niko', 'lu', 'boleh', 'pakai', 'helm', 'tapi', 'habis', 'ini', 'dapet', 'dare', 'jadi', 'panitia', 'karapan', 'sapi', 'unmood'];['niko', 'kamu', 'boleh', 'pakai', 'helm', 'tapi', 'habis', 'ini', 'dapat', 'dare', 'jadi', 'panitia', 'karapan', 'sapi', 'unmood'];niko pakai helm habis dare panitia karapan sapi unmood;niko pakai helm habis dare panitia karapan sapi unmood;0;Positif
Mon Jul 15 12:32:15 +0000 2024;Niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi.;josaphait;niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi.;niko lu boleh pakai helm tapi habis ini dapet dare jadi panitia karapan sapi;['niko', 'lu', 'boleh', 'pakai', 'helm', 'tapi', 'habis', 'ini', 'dapet', 'dare', 'jadi', 'panitia', 'karapan', 'sapi'];['niko', 'kamu', 'boleh', 'pakai', 'helm', 'tapi', 'habis', 'ini', 'dapat', 'dare', 'jadi', 'panitia', 'karapan', 'sapi'];niko pakai helm habis dare panitia karapan sapi;niko pakai helm habis dare panitia karapan sapi;0;Positif
Sat Jul 13 07:26:47 +0000 2024;namanya jg marco remoncelli ben! pasti punya luka di setiap cerita balapannya seingetku ini luka waktu memacu karapan sapi;snogthenbite;namanya jg marco remoncelli ben! pasti punya luka di setiap cerita balapannya seingetku ini luka waktu memacu karapan sapi;namanya jg marco remoncelli ben pasti punya luka di setiap cerita balapannya seingetku ini luka waktu memacu karapan sapi;['namanya', 'jg', 'marco', 'remoncelli', 'ben', 'pasti', 'punya', 'luka', 'di', 'setiap', 'cerita', 'balapannya', 'seingetku', 'ini', 'luka', 'waktu', 'memacu', 'karapan', 'sapi'];['namanya', 'juga', 'marco', 'remoncelli', 'ben', 'pasti', 'punya', 'luka', 'di', 'setiap', 'cerita', 'balapannya', 'seingetku', 'ini', 'luka', 'waktu', 'memacu', 'karapan', 'sapi'];namanya marco remoncelli ben luka cerita balapannya seingetku luka memacu karapan sapi;nama marco remoncelli ben luka cerita balap seingetku luka pacu karapan sapi;0;Positif
Fri Jul 12 02:24:31 +0000 2024;@MikaelDewabrata Scrooge M'duck (Paman Gober) muda singgah untuk menonton Karapan Sapi dan menyaksikan langsung waktu Krakatau meletus. Ada juga Tintin di Jakarta mendarat di Bandar Udara Kemayoran. https://t.co/OyDE52lBWu;GabrianYosia;@mikaeldewabrata scrooge m'duck (paman gober) muda singgah untuk menonton karapan sapi dan menyaksikan langsung waktu krakatau meletus. ada juga tintin di jakarta mendarat di bandar udara kemayoran. https://t.co/oyde52lbwu;mikaeldewabrata scrooge mduck paman gober muda singgah untuk menonton karapan sapi dan menyaksikan langsung waktu krakatau meletus ada juga tintin di jakarta mendarat di bandar udara kemayoran httpstcooydelbwu;['mikaeldewabrata', 'scrooge', 'mduck', 'paman', 'gober', 'muda', 'singgah', 'untuk', 'menonton', 'karapan', 'sapi', 'dan', 'menyaksikan', 'langsung', 'waktu', 'krakatau', 'meletus', 'ada', 'juga', 'tintin', 'di', 'jakarta', 'mendarat', 'di', 'bandar', 'udara', 'kemayoran', 'httpstcooydelbwu'];['mikaeldewabrata', 'scrooge', 'mduck', 'paman', 'gober', 'muda', 'singgah', 'untuk', 'menonton', 'karapan', 'sapi', 'dan', 'menyaksikan', 'langsung', 'waktu', 'krakatau', 'meletus', 'ada', 'juga', 'tintin', 'di', 'jakarta', 'mendarat', 'di', 'bandar', 'udara', 'kemayoran', 'httpstcooydelbwu'];mikaeldewabrata scrooge mduck paman gober muda singgah menonton karapan sapi menyaksikan langsung krakatau meletus tintin jakarta mendarat bandar udara kemayoran httpstcooydelbwu;mikaeldewabrata scrooge mduck paman gober muda singgah tonton karapan sapi saksi langsung krakatau letus tintin jakarta darat bandar udara mayor httpstcooydelbwu;0;Positif
Fri Jul 12 01:19:16 +0000 2024;@bllshittt bajingan adalah penunggang sapi di balapan karapan sapi;EnricoFitranov2;@bllshittt bajingan adalah penunggang sapi di balapan karapan sapi;bllshittt bajingan adalah penunggang sapi di balapan karapan sapi;['bllshittt', 'bajingan', 'adalah', 'penunggang', 'sapi', 'di', 'balapan', 'karapan', 'sapi'];['bllshittt', 'bajingan', 'adalah', 'penunggang', 'sapi', 'di', 'balapan', 'karapan', 'sapi'];bllshittt bajingan penunggang sapi balapan karapan sapi;bllshittt bajing tunggang sapi balap karapan sapi;0;Positif
Wed Jul 10 14:57:45 +0000 2024;@innovacommunity Banyak lah. Bahkan di Madura Alphard saja muat ngarit rumput dan bawa Sapi ke pasar hewan...atau stadion karapan sapi;ndeso_ganteng;@innovacommunity banyak lah. bahkan di madura alphard saja muat ngarit rumput dan bawa sapi ke pasar hewan...atau stadion karapan sapi;innovacommunity banyak lah bahkan di madura alphard saja muat ngarit rumput dan bawa sapi ke pasar hewanatau stadion karapan sapi;['innovacommunity', 'banyak', 'lah', 'bahkan', 'di', 'madura', 'alphard', 'saja', 'muat', 'ngarit', 'rumput', 'dan', 'bawa', 'sapi', 'ke', 'pasar', 'hewanatau', 'stadion', 'karapan', 'sapi'];['innovacommunity', 'banyak', 'lah', 'bahkan', 'di', 'madura', 'alphard', 'saja', 'muat', 'ngarit', 'rumput', 'dan', 'bawa', 'sapi', 'ke', 'pasar', 'hewanatau', 'stadion', 'karapan', 'sapi'];innovacommunity madura alphard muat ngarit rumput bawa sapi pasar hewanatau stadion karapan sapi;innovacommunity madura alphard muat ngarit rumput bawa sapi pasar hewanatau stadion karapan sapi;0;Positif
Wed Jul 10 00:43:26 +0000 2024;@satriohendri Lima taun lagi blm tentu banyak orang tinggal disana banyakin sirkuit motorcross atau ajang offroad atau olahraga tradisional balap kerbau atau karapan sapi dijamin rame.. Nanti pak wapres atau ayahnya wapres terpilih kerasan...;TambalBan87;@satriohendri lima taun lagi blm tentu banyak orang tinggal disana banyakin sirkuit motorcross atau ajang offroad atau olahraga tradisional balap kerbau atau karapan sapi dijamin rame.. nanti pak wapres atau ayahnya wapres terpilih kerasan...;satriohendri lima taun lagi blm tentu banyak orang tinggal disana banyakin sirkuit motorcross atau ajang offroad atau olahraga tradisional balap kerbau atau karapan sapi dijamin rame nanti pak wapres atau ayahnya wapres terpilih kerasan;['satriohendri', 'lima', 'taun', 'lagi', 'blm', 'tentu', 'banyak', 'orang', 'tinggal', 'disana', 'banyakin', 'sirkuit', 'motorcross', 'atau', 'ajang', 'offroad', 'atau', 'olahraga', 'tradisional', 'balap', 'kerbau', 'atau', 'karapan', 'sapi', 'dijamin', 'rame', 'nanti', 'pak', 'wapres', 'atau', 'ayahnya', 'wapres', 'terpilih', 'kerasan'];['satriohendri', 'lima', 'tahun', 'lagi', 'belum', 'tentu', 'banyak', 'orang', 'tinggal', 'disana', 'membanyaki', 'sirkuit', 'motorcross', 'atau', 'ajang', 'offroad', 'atau', 'olahraga', 'tradisional', 'balap', 'kerbau', 'atau', 'karapan', 'sapi', 'dijamin', 'rame', 'nanti', 'pak', 'wapres', 'atau', 'ayahnya', 'wapres', 'terpilih', 'kerasan'];satriohendri orang tinggal disana membanyaki sirkuit motorcross ajang offroad olahraga tradisional balap kerbau karapan sapi dijamin rame wapres ayahnya wapres terpilih kerasan;satriohendri orang tinggal sana banyak sirkuit motorcross ajang offroad olahraga tradisional balap kerbau karapan sapi jamin rame wapres ayah wapres pilih kerasan;0;Positif
Sun Jul 07 04:01:23 +0000 2024;@Ibnuantt ke surabaya mimik karapan sapi lagi;aliyaskarbu;@ibnuantt ke surabaya mimik karapan sapi lagi;ibnuantt ke surabaya mimik karapan sapi lagi;['ibnuantt', 'ke', 'surabaya', 'mimik', 'karapan', 'sapi', 'lagi'];['ibnuantt', 'ke', 'surabaya', 'mimik', 'karapan', 'sapi', 'lagi'];ibnuantt surabaya mimik karapan sapi lagi;ibnuantt surabaya mimik karapan sapi lagi;0;Positif
Fri Jul 05 14:45:21 +0000 2024;@CNNIndonesia bijimanepun Mobil Listrik gak akan berjaya krn ribet &amp;;@cnnindonesia bijimanepun mobil listrik gak akan berjaya krn ribet &amp;cnnindonesia bijimanepun mobil listrik gak akan berjaya krn ribet amp;['cnnindonesia', 'bijimanepun', 'mobil', 'listrik', 'gak', 'akan', 'berjaya', 'krn', 'ribet', 'amp'];['cnnindonesia', 'bijimanepun', 'mobil', 'listrik', 'tidak', 'akan', 'berjaya', 'karena', 'ribet', 'amp'];cnnindonesia bijimanepun mobil listrik berjaya ribet amp;cnnindonesia bijimanepun mobil listrik jaya ribet amp;0;Positif
Thu Jul 04 10:32:57 +0000 2024;@jjoysbahng Nungguin bangchan main karapan sapi;bangchanfapsi;@jjoysbahng nungguin bangchan main karapan sapi;jjoysbahng nungguin bangchan main karapan sapi;['jjoysbahng', 'nungguin', 'bangchan', 'main', 'karapan', 'sapi'];['jjoysbahng', 'menunggu', 'bangchan', 'main', 'karapan', 'sapi'];jjoysbahng menunggu bangchan main karapan sapi;jjoysbahng tunggu bangchan main karapan sapi;0;Positif
Thu Jul 04 02:53:53 +0000 2024;@CVNKJL Pasti karapan sapi pudding ini;ariarjiwinata02;@cvnkjl pasti karapan sapi pudding ini;cvnkjl pasti karapan sapi pudding ini;['cvnkjl', 'pasti', 'karapan', 'sapi', 'pudding', 'ini'];['cvnkjl', 'pasti', 'karapan', 'sapi', 'pudding', 'ini'];cvnkjl karapan sapi pudding ini;cvnkjl karapan sapi pudding ini;0;Positif
Mon Jul 01 14:55:39 +0000 2024;Nomor &amp;;nomor &amp;nomor amp;['nomor', 'amp'];['nomor', 'amp'];nomor amp;nomor amp;0;Positif
Mon Jul 01 14:05:09 +0000 2024;@asdn___ 200 juga udah mevvah gorengan 100/5 biji. Aku bekel pake salawean 4 biji. Sama koin seratus yang karapan sapi 1 biji.;naufalfarrazg;@asdn___ 200 juga udah mevvah gorengan 100/5 biji. aku bekel pake salawean 4 biji. sama koin seratus yang karapan sapi 1 biji.;asdn  juga udah mevvah gorengan  biji aku bekel pake salawean  biji sama koin seratus yang karapan sapi  biji;['asdn', 'juga', 'udah', 'mevvah', 'gorengan', 'biji', 'aku', 'bekel', 'pake', 'salawean', 'biji', 'sama', 'koin', 'seratus', 'yang', 'karapan', 'sapi', 'biji'];['asdn', 'juga', 'sudah', 'mevvah', 'gorengan', 'biji', 'aku', 'bekel', 'pakai', 'salawean', 'biji', 'sama', 'koin', 'seratus', 'yang', 'karapan', 'sapi', 'biji'];asdn mevvah gorengan biji bekel pakai salawean biji koin seratus karapan sapi biji;asdn mevvah goreng biji bekel pakai salawean biji koin ratus karapan sapi biji;0;Positif
Sun Jun 30 04:03:54 +0000 2024;ultah besok gamau macem?? pake kue deh mau liat karapan sapi ajaa ;bluejaemns;ultah besok gamau macem?? pake kue deh mau liat karapan sapi ajaa ;ultah besok gamau macem pake kue deh mau liat karapan sapi ajaa;['ultah', 'besok', 'gamau', 'macem', 'pake', 'kue', 'deh', 'mau', 'liat', 'karapan', 'sapi', 'ajaa'];['ultah', 'besok', 'tidak mau', 'macam', 'pakai', 'kue', 'deh', 'mau', 'lihat', 'karapan', 'sapi', 'saja'];ultah besok pakai kue deh lihat karapan sapi saja;ultah besok pakai kue deh lihat karapan sapi saja;0;Positif
Sat Jun 29 08:32:36 +0000 2024;Indonesia traditional sport culture: pencak silat sepak takraw/raga dam-daman jemparingan lompat batu pacu jalur pathol/gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok/balap karung panjat pinang karapan sapi.;jrr_0820;indonesia traditional sport culture: pencak silat sepak takraw/raga dam-daman jemparingan lompat batu pacu jalur pathol/gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok/balap karung panjat pinang karapan sapi.;indonesia traditional sport culture pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur patholgulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balokbalap karung panjat pinang karapan sapi;['indonesia', 'traditional', 'sport', 'culture', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdaman', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'patholgulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balokbalap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];['indonesia', 'traditional', 'sport', 'culture', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdaman', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'patholgulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balokbalap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];indonesia traditional sport culture pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur patholgulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balokbalap karung panjat pinang karapan sapi;indonesia traditional sport culture pencak silat sepak takrawraga damdaman jemparing lompat batu pacu jalur patholgulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balokbalap karung panjat pinang karapan sapi;0;Positif
Sat Jun 29 08:32:27 +0000 2024;Budaya olahraga tradisional Indonesia: pencak silat sepak takraw/raga dam-daman/catur jemparingan lompat batu pacu jalur pathol/gulat okol egrang terompah/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok/balap karung panjat pinang karapan sapi.;jrr_0820;budaya olahraga tradisional indonesia: pencak silat sepak takraw/raga dam-daman/catur jemparingan lompat batu pacu jalur pathol/gulat okol egrang terompah/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok/balap karung panjat pinang karapan sapi.;budaya olahraga tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparingan lompat batu pacu jalur patholgulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balokbalap karung panjat pinang karapan sapi;['budaya', 'olahraga', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdamancatur', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'patholgulat', 'okol', 'egrang', 'terompahbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balokbalap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];['budaya', 'olahraga', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdamancatur', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'patholgulat', 'okol', 'egrang', 'terompahbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balokbalap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];budaya olahraga tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparingan lompat batu pacu jalur patholgulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balokbalap karung panjat pinang karapan sapi;budaya olahraga tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparing lompat batu pacu jalur patholgulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balokbalap karung panjat pinang karapan sapi;0;Positif
Sat Jun 29 08:32:15 +0000 2024;Budaya sukan tradisional Indonesia: pencak silat sepak takraw/raga dam-daman/catur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;jrr_0820;budaya sukan tradisional indonesia: pencak silat sepak takraw/raga dam-daman/catur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;budaya sukan tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;['budaya', 'sukan', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdamancatur', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompahbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];['budaya', 'sukan', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdamancatur', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompahbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];budaya sukan tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;budaya sukan tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparing lompat batu pacu jalur pathol gulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balok balap karung panjat pinang karapan sapi;0;Positif
Sat Jun 29 03:52:54 +0000 2024;Revitalisasi Lapangan Karapan Sapi Sumenep Masuk Tahap Tender https://t.co/GkvmyJVKnL;JPRadarMadura;revitalisasi lapangan karapan sapi sumenep masuk tahap tender https://t.co/gkvmyjvknl;revitalisasi lapangan karapan sapi sumenep masuk tahap tender httpstcogkvmyjvknl;['revitalisasi', 'lapangan', 'karapan', 'sapi', 'sumenep', 'masuk', 'tahap', 'tender', 'httpstcogkvmyjvknl'];['revitalisasi', 'lapangan', 'karapan', 'sapi', 'sumenep', 'masuk', 'tahap', 'tender', 'httpstcogkvmyjvknl'];revitalisasi lapangan karapan sapi sumenep masuk tahap tender httpstcogkvmyjvknl;revitalisasi lapang karapan sapi sumenep masuk tahap tender httpstcogkvmyjvknl;0;Positif
